"plot_id","trt","sample_origin","Compound_name","length","width","Concentration"
"bx03","b","Conditioning_phase","MBOA",6,1,NA
"bx01","b","Conditioning_phase","MBOA",2,1,NA
"bx08","b","Conditioning_phase","MBOA",2,3,NA
"bx02","b","Conditioning_phase","MBOA",4,1,NA
"WT02","W","Conditioning_phase","MBOA",5,1,NA
"WT03","W","Conditioning_phase","MBOA",7,1,59.204
"WT08","W","Conditioning_phase","MBOA",3,3,73.144
"WT04","W","Conditioning_phase","MBOA",2,2,46.412
"WT10","W","Conditioning_phase","MBOA",7,3,44.772
"WT01","W","Conditioning_phase","MBOA",3,1,36.9
"WT09","W","Conditioning_phase","MBOA",5,3,66.092
"WT06","W","Conditioning_phase","MBOA",6,2,65.436
"WT07","W","Conditioning_phase","MBOA",1,3,114.636
"WT05","W","Conditioning_phase","MBOA",4,2,46.412
"bx04","b","Conditioning_phase","AMPO",1,2,NA
"bx06","b","Conditioning_phase","AMPO",5,2,NA
"bx05","b","Conditioning_phase","AMPO",3,2,NA
"bx10","b","Conditioning_phase","AMPO",6,3,NA
"bx07","b","Conditioning_phase","AMPO",7,2,NA
"bx09","b","Conditioning_phase","AMPO",4,3,NA
"bx03","b","Conditioning_phase","AMPO",6,1,NA
"bx01","b","Conditioning_phase","AMPO",2,1,NA
"bx08","b","Conditioning_phase","AMPO",2,3,NA
"bx02","b","Conditioning_phase","AMPO",4,1,NA
"WT02","W","Conditioning_phase","AMPO",5,1,NA
"WT03","W","Conditioning_phase","AMPO",7,1,0.170888
"WT08","W","Conditioning_phase","AMPO",3,3,0.140876
"WT04","W","Conditioning_phase","AMPO",2,2,0.371296
"WT10","W","Conditioning_phase","AMPO",7,3,0.05986
"WT01","W","Conditioning_phase","AMPO",3,1,0.2583
"WT09","W","Conditioning_phase","AMPO",5,3,0.354568
"WT06","W","Conditioning_phase","AMPO",6,2,0.276996
"WT07","W","Conditioning_phase","AMPO",1,3,0.484784
"WT05","W","Conditioning_phase","AMPO",4,2,0.513648
"bx10","b","Wheat_end_veg_stage","DIMBOA-Glc",6,3,1.905
"WT10","W","Wheat_end_veg_stage","DIMBOA-Glc",7,3,11.535
"WT10","W","Wheat_sowing","DIMBOA-Glc",7,3,2.2632
"bx10","b","Wheat_sowing","DIMBOA-Glc",6,3,NA
"bx09","b","Wheat_end_veg_stage","DIMBOA-Glc",4,3,0.41
"WT09","W","Wheat_end_veg_stage","DIMBOA-Glc",5,3,0.61
"WT09","W","Wheat_sowing","DIMBOA-Glc",5,3,5.9122
"bx09","b","Wheat_sowing","DIMBOA-Glc",4,3,1.4022
"bx08","b","Wheat_end_veg_stage","DIMBOA-Glc",2,3,1.24
"WT08","W","Wheat_end_veg_stage","DIMBOA-Glc",3,3,2.98
"WT08","W","Wheat_sowing","DIMBOA-Glc",3,3,17.917
"bx08","b","Wheat_sowing","DIMBOA-Glc",2,3,1.3694
"bx07","b","Wheat_end_veg_stage","DIMBOA-Glc",7,2,4.045
"WT07","W","Wheat_end_veg_stage","DIMBOA-Glc",1,3,3.975
"WT07","W","Wheat_sowing","DIMBOA-Glc",1,3,1.2382
"bx07","b","Wheat_sowing","DIMBOA-Glc",7,2,0.656
"bx06","b","Wheat_end_veg_stage","DIMBOA-Glc",5,2,1.08
"WT06","W","Wheat_end_veg_stage","DIMBOA-Glc",6,2,7.03
"WT06","W","Wheat_sowing","DIMBOA-Glc",6,2,1.6892
"bx06","b","Wheat_sowing","DIMBOA-Glc",5,2,NA
"bx05","b","Wheat_end_veg_stage","DIMBOA-Glc",3,2,4.6
"WT05","W","Wheat_end_veg_stage","DIMBOA-Glc",4,2,NA
"WT05","W","Wheat_sowing","DIMBOA-Glc",4,2,4.6904
"bx05","b","Wheat_sowing","DIMBOA-Glc",3,2,1.0578
"bx04","b","Wheat_end_veg_stage","DIMBOA-Glc",1,2,2.605
"WT04","W","Wheat_end_veg_stage","DIMBOA-Glc",2,2,1.63
"WT04","W","Wheat_sowing","DIMBOA-Glc",2,2,8.3558
"bx04","b","Wheat_sowing","DIMBOA-Glc",1,2,4.7314
"bx03","b","Wheat_end_veg_stage","DIMBOA-Glc",6,1,3.34
"WT03","W","Wheat_end_veg_stage","DIMBOA-Glc",7,1,2.55
"WT03","W","Wheat_sowing","DIMBOA-Glc",7,1,2.3534
"bx03","b","Wheat_sowing","DIMBOA-Glc",6,1,0.5412
"bx02","b","Wheat_end_veg_stage","DIMBOA-Glc",4,1,4.64
"WT02","W","Wheat_end_veg_stage","DIMBOA-Glc",5,1,2.04
"WT02","W","Wheat_sowing","DIMBOA-Glc",5,1,1.5498
"bx02","b","Wheat_sowing","DIMBOA-Glc",4,1,1.5416
"bx01","b","Wheat_end_veg_stage","DIMBOA-Glc",2,1,3.67
"WT01","W","Wheat_end_veg_stage","DIMBOA-Glc",3,1,5.495
"WT01","W","Wheat_sowing","DIMBOA-Glc",3,1,NA
"bx01","b","Wheat_sowing","DIMBOA-Glc",2,1,0.9512
"bx10","b","Wheat_end_veg_stage","HMBOA",6,3,3.55
"WT10","W","Wheat_end_veg_stage","HMBOA",7,3,5.775
"WT10","W","Wheat_sowing","HMBOA",7,3,0.5986
"bx10","b","Wheat_sowing","HMBOA",6,3,NA
"bx09","b","Wheat_end_veg_stage","HMBOA",4,3,0.935
"WT09","W","Wheat_end_veg_stage","HMBOA",5,3,1.34
"WT09","W","Wheat_sowing","HMBOA",5,3,7.38
"bx09","b","Wheat_sowing","HMBOA",4,3,0.6232
"bx08","b","Wheat_end_veg_stage","HMBOA",2,3,2.155
"WT08","W","Wheat_end_veg_stage","HMBOA",3,3,2.835
"WT08","W","Wheat_sowing","HMBOA",3,3,1.5744
"bx08","b","Wheat_sowing","HMBOA",2,3,0.2542
"bx07","b","Wheat_end_veg_stage","HMBOA",7,2,11.53
"WT07","W","Wheat_end_veg_stage","HMBOA",1,3,2.945
"WT07","W","Wheat_sowing","HMBOA",1,3,0.3116
"bx07","b","Wheat_sowing","HMBOA",7,2,0.9102
"bx06","b","Wheat_end_veg_stage","HMBOA",5,2,4.06
"WT06","W","Wheat_end_veg_stage","HMBOA",6,2,13.76
"WT06","W","Wheat_sowing","HMBOA",6,2,3.772
"bx06","b","Wheat_sowing","HMBOA",5,2,NA
"bx05","b","Wheat_end_veg_stage","HMBOA",3,2,6.78
"WT05","W","Wheat_end_veg_stage","HMBOA",4,2,NA
"WT05","W","Wheat_sowing","HMBOA",4,2,1.6564
"bx05","b","Wheat_sowing","HMBOA",3,2,0.369
"bx04","b","Wheat_end_veg_stage","HMBOA",1,2,4.33
"WT04","W","Wheat_end_veg_stage","HMBOA",2,2,5.015
"WT04","W","Wheat_sowing","HMBOA",2,2,4.674
"bx04","b","Wheat_sowing","HMBOA",1,2,0.5494
"bx03","b","Wheat_end_veg_stage","HMBOA",6,1,6.495
"WT03","W","Wheat_end_veg_stage","HMBOA",7,1,4.09
"WT03","W","Wheat_sowing","HMBOA",7,1,1.64
"bx03","b","Wheat_sowing","HMBOA",6,1,0.4674
"bx02","b","Wheat_end_veg_stage","HMBOA",4,1,5.13
"WT02","W","Wheat_end_veg_stage","HMBOA",5,1,3.415
"WT02","W","Wheat_sowing","HMBOA",5,1,3.7474
"bx02","b","Wheat_sowing","HMBOA",4,1,0.5904
"bx01","b","Wheat_end_veg_stage","HMBOA",2,1,6.255
"WT01","W","Wheat_end_veg_stage","HMBOA",3,1,9.455
"WT01","W","Wheat_sowing","HMBOA",3,1,NA
"bx01","b","Wheat_sowing","HMBOA",2,1,0.1476
"bx10","b","Wheat_end_veg_stage","DIMBOA",6,3,0.56
"WT10","W","Wheat_end_veg_stage","DIMBOA",7,3,0.715
"WT10","W","Wheat_sowing","DIMBOA",7,3,NA
"bx10","b","Wheat_sowing","DIMBOA",6,3,NA
"bx09","b","Wheat_end_veg_stage","DIMBOA",4,3,NA
"WT09","W","Wheat_end_veg_stage","DIMBOA",5,3,0.1
"WT09","W","Wheat_sowing","DIMBOA",5,3,NA
"bx09","b","Wheat_sowing","DIMBOA",4,3,NA
"bx08","b","Wheat_end_veg_stage","DIMBOA",2,3,0.09
"WT08","W","Wheat_end_veg_stage","DIMBOA",3,3,NA
"WT08","W","Wheat_sowing","DIMBOA",3,3,NA
"bx08","b","Wheat_sowing","DIMBOA",2,3,NA
"bx07","b","Wheat_end_veg_stage","DIMBOA",7,2,0.66
"WT07","W","Wheat_end_veg_stage","DIMBOA",1,3,0.105
"WT07","W","Wheat_sowing","DIMBOA",1,3,NA
"bx07","b","Wheat_sowing","DIMBOA",7,2,0.328
"bx06","b","Wheat_end_veg_stage","DIMBOA",5,2,0.245
"WT06","W","Wheat_end_veg_stage","DIMBOA",6,2,1.015
"WT06","W","Wheat_sowing","DIMBOA",6,2,0.3116
"bx06","b","Wheat_sowing","DIMBOA",5,2,NA
"bx05","b","Wheat_end_veg_stage","DIMBOA",3,2,0.495
"WT05","W","Wheat_end_veg_stage","DIMBOA",4,2,NA
"WT05","W","Wheat_sowing","DIMBOA",4,2,NA
"bx05","b","Wheat_sowing","DIMBOA",3,2,NA
"bx04","b","Wheat_end_veg_stage","DIMBOA",1,2,NA
"WT04","W","Wheat_end_veg_stage","DIMBOA",2,2,0.215
"WT04","W","Wheat_sowing","DIMBOA",2,2,0.246
"bx04","b","Wheat_sowing","DIMBOA",1,2,NA
"bx03","b","Wheat_end_veg_stage","DIMBOA",6,1,0.44
"WT03","W","Wheat_end_veg_stage","DIMBOA",7,1,0.575
"WT03","W","Wheat_sowing","DIMBOA",7,1,NA
