"sample_id","plot_id","trt","length","width","PCA_soil_chem_1","PCA_soil_chem_2","PCA_soil_chem_3","PCA_soil_chem_4","PCA_soil_chem_5"
"Changins_WT01","WT01","W",3,1,-0.784363544152783,-0.13059527786952,-0.821666980836481,1.21125501462393,-0.837953285635762
"Changins_WT02","WT02","W",5,1,-3.11164825812349,-0.248424155594022,-1.95125396085048,1.78742292954455,-1.16822190606365
"Changins_WT03","WT03","W",7,1,-3.20081777864182,-1.82325333626161,-0.372483800381051,0.914360350498976,-0.0637789252433984
"Changins_WT04","WT04","W",2,2,4.92509133226506,-1.29303427438968,0.134410946732803,1.35008996181694,1.11137110151315
"Changins_WT05","WT05","W",4,2,-0.711652702318234,3.81269446746285,-0.4963209284318,-0.0805013106295948,0.39685598272394
"Changins_WT06","WT06","W",6,2,-3.4585083752652,0.330881746663022,0.816708224410679,-0.773652967114575,0.0993676720771139
"Changins_WT07","WT07","W",1,3,5.3112874644143,0.00541382834137861,-0.593538235696748,-2.1843822864122,-1.7501883817061
"Changins_WT08","WT08","W",3,3,2.27034905560548,-0.491466277348312,-2.48525496377791,-1.93760600997873,1.62266324239139
"Changins_WT09","WT09","W",5,3,-1.17394188472131,0.54625232701694,1.5594880311889,-0.36348144867643,-1.41627897886186
"Changins_WT10","WT10","W",7,3,-3.66220193555309,0.287203672526916,-0.0957981693583492,-1.77145760213596,0.307068514892033
"Changins_bx01","bx01","b",2,1,0.59530473049248,-0.425800226071272,0.403555177489638,1.12957992337181,1.10126378227656
"Changins_bx02","bx02","b",4,1,-1.67333334919926,1.16659279742011,-2.01845549875599,0.579185260883387,-0.533076461209321
"Changins_bx03","bx03","b",6,1,-3.34782701448981,-1.21603821020602,-0.0872527485242679,-1.11492630619635,0.563488770042411
"Changins_bx04","bx04","b",1,2,6.01047778699199,0.994684953507334,-0.514855149315043,0.0743410306058001,-0.371234887361542
"Changins_bx05","bx05","b",3,2,1.77941880861885,0.058353758282373,0.277348247361112,1.53876456462414,-0.0153188029653602
"Changins_bx06","bx06","b",5,2,-2.12678911302923,-0.476485056280407,1.61998316488862,-0.189876448388444,-0.0955885354544291
"Changins_bx07","bx07","b",7,2,-2.6653901796265,-0.507127502907403,0.180398376639162,0.114394109460181,1.14433766143165
"Changins_bx08","bx08","b",2,3,5.8087691281691,-2.34308911875513,1.08013789867147,-0.0559914020245215,-0.264059116652666
"Changins_bx09","bx09","b",4,3,1.8720396058721,3.14672426919727,2.08837014334345,0.473527246195015,0.697256283741665
"Changins_bx10","bx10","b",6,3,-2.65626377730867,-1.39348838473482,1.27648022520221,-0.701044610067962,-0.527973729935797
