"sample_id","replicate","condition","time_point","time_h","suspension","soil_origin","cond_rep","Compound_name","uM"
"BD_02A","A","buffer_DIMBOA",2,0.125,"buffer",NA,"buffer_DIMBOA_A","MBOA_d3",5.390079248
"BD_02A","A","buffer_DIMBOA",2,0.125,"buffer",NA,"buffer_DIMBOA_A","AMPO_d3",NA
"Hi_02B","B","N_DIMBOA",2,0.125,"soil","N","N_DIMBOA_B","DIMBOA_d3",1.638546729
"Hi_02B","B","N_DIMBOA",2,0.125,"soil","N","N_DIMBOA_B","MBOA_d3",13.96023232
"Hi_02B","B","N_DIMBOA",2,0.125,"soil","N","N_DIMBOA_B","AMPO_d3",0.033979592
"Lo_02B","B","S_DIMBOA",2,0.125,"soil","S","S_DIMBOA_B","DIMBOA_d3",1.683672897
"Lo_02B","B","S_DIMBOA",2,0.125,"soil","S","S_DIMBOA_B","MBOA_d3",10.53513834
"Lo_02B","B","S_DIMBOA",2,0.125,"soil","S","S_DIMBOA_B","AMPO_d3",NA
"BD_02B","B","buffer_DIMBOA",2,0.125,"buffer",NA,"buffer_DIMBOA_B","DIMBOA_d3",135.6710467
"BD_02B","B","buffer_DIMBOA",2,0.125,"buffer",NA,"buffer_DIMBOA_B","MBOA_d3",4.715638114
"BD_02B","B","buffer_DIMBOA",2,0.125,"buffer",NA,"buffer_DIMBOA_B","AMPO_d3",NA
"Hi_02C","C","N_DIMBOA",2,0.125,"soil","N","N_DIMBOA_C","DIMBOA_d3",1.758364486
"Hi_02C","C","N_DIMBOA",2,0.125,"soil","N","N_DIMBOA_C","MBOA_d3",20.35704113
"Hi_02C","C","N_DIMBOA",2,0.125,"soil","N","N_DIMBOA_C","AMPO_d3",0.038057143
"Lo_02C","C","S_DIMBOA",2,0.125,"soil","S","S_DIMBOA_C","DIMBOA_d3",1.361565421
"Lo_02C","C","S_DIMBOA",2,0.125,"soil","S","S_DIMBOA_C","MBOA_d3",8.131786532
"Lo_02C","C","S_DIMBOA",2,0.125,"soil","S","S_DIMBOA_C","AMPO_d3",NA
"BD_02C","C","buffer_DIMBOA",2,0.125,"buffer",NA,"buffer_DIMBOA_C","DIMBOA_d3",135.4656449
"BD_02C","C","buffer_DIMBOA",2,0.125,"buffer",NA,"buffer_DIMBOA_C","MBOA_d3",4.792660944
"BD_02C","C","buffer_DIMBOA",2,0.125,"buffer",NA,"buffer_DIMBOA_C","AMPO_d3",NA
"Hi_02D","D","N_DIMBOA",2,0.125,"soil","N","N_DIMBOA_D","DIMBOA_d3",0.942981308
"Hi_02D","D","N_DIMBOA",2,0.125,"soil","N","N_DIMBOA_D","MBOA_d3",10.47848408
"Hi_02D","D","N_DIMBOA",2,0.125,"soil","N","N_DIMBOA_D","AMPO_d3",0.032620408
"Lo_02D","D","S_DIMBOA",2,0.125,"soil","S","S_DIMBOA_D","DIMBOA_d3",1.923308411
"Lo_02D","D","S_DIMBOA",2,0.125,"soil","S","S_DIMBOA_D","MBOA_d3",10.7530516
