"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"
">ASV49"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Gammaproteobacteria_Incertae_Sedis"	"Unknown_Family"	"Acidibacter"
">ASV50"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Betaproteobacteriales"	"Burkholderiaceae"	"Limnohabitans"
">ASV51"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	"Lysobacter"
">ASV52"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Xanthobacteraceae"	NA
">ASV53"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Betaproteobacteriales"	"Burkholderiaceae"	"Variovorax"
">ASV54"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"Sphingobium"
">ASV55"	"Bacteria"	"Actinobacteria"	"Thermoleophilia"	"Solirubrobacterales"	"67-14"	NA
">ASV56"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Intrasporangiaceae"	"Lapillicoccus"
">ASV57"	"Bacteria"	"Nitrospirae"	"Nitrospira"	"Nitrospirales"	"Nitrospiraceae"	"Nitrospira"
">ASV58"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Intrasporangiaceae"	"Lapillicoccus"
">ASV59"	"Bacteria"	"Chloroflexi"	"Dehalococcoidia"	"S085"	NA	NA
">ASV60"	"Bacteria"	"Acidobacteria"	"Subgroup_11"	NA	NA	NA
">ASV61"	"Bacteria"	"Chloroflexi"	"TK10"	NA	NA	NA
">ASV62"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Corynebacteriales"	"Mycobacteriaceae"	"Mycobacterium"
">ASV63"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Betaproteobacteriales"	"Burkholderiaceae"	"Rhizobacter"
">ASV64"	"Bacteria"	"Actinobacteria"	"Thermoleophilia"	"Gaiellales"	"Gaiellaceae"	"Gaiella"
">ASV65"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"Flavobacterium"
">ASV66"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Rhizobiaceae"	"Mesorhizobium"
">ASV67"	"Bacteria"	"Chloroflexi"	"TK10"	NA	NA	NA
">ASV68"	"Bacteria"	"Gemmatimonadetes"	"Gemmatimonadetes"	"Gemmatimonadales"	"Gemmatimonadaceae"	"Gemmatimonas"
">ASV69"	"Bacteria"	"Chloroflexi"	"Ktedonobacteria"	"C0119"	NA	NA
">ASV70"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Betaproteobacteriales"	"Nitrosomonadaceae"	"Ellin6067"
">ASV71"	"Bacteria"	"Gemmatimonadetes"	"Gemmatimonadetes"	"Gemmatimonadales"	"Gemmatimonadaceae"	"Gemmatimonas"
">ASV72"	"Bacteria"	"Actinobacteria"	"Thermoleophilia"	"Gaiellales"	"Gaiellaceae"	"Gaiella"
">ASV73"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Propionibacteriales"	"Nocardioidaceae"	"Nocardioides"
">ASV74"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Propionibacteriales"	"Propionibacteriaceae"	"Microlunatus"
">ASV75"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Betaproteobacteriales"	"Burkholderiaceae"	"Burkholderia-Caballeronia-Paraburkholderia"
">ASV76"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Propionibacteriales"	"Nocardioidaceae"	"Nocardioides"
">ASV77"	"Bacteria"	"Chloroflexi"	"TK10"	NA	NA	NA
">ASV78"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Intrasporangiaceae"	"Terrabacter"
">ASV79"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Betaproteobacteriales"	"SC-I-84"	NA
">ASV80"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Pseudonocardiales"	"Pseudonocardiaceae"	"Umezawaea"
">ASV81"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Streptomycetales"	"Streptomycetaceae"	"Streptomyces"
">ASV82"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"Sphingomonas"
">ASV83"	"Bacteria"	"Chloroflexi"	"Dehalococcoidia"	"S085"	NA	NA
">ASV84"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Pseudomonadaceae"	"Pseudomonas"
">ASV85"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Streptomycetales"	"Streptomycetaceae"	"Streptomyces"
">ASV86"	"Bacteria"	"Gemmatimonadetes"	"Gemmatimonadetes"	"Gemmatimonadales"	"Gemmatimonadaceae"	NA
">ASV87"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Betaproteobacteriales"	"Nitrosomonadaceae"	"Nitrosospira"
">ASV88"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"Sphingomonas"
">ASV89"	"Bacteria"	"Actinobacteria"	"Thermoleophilia"	"Gaiellales"	"Gaiellaceae"	"Gaiella"
">ASV90"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Streptomycetales"	"Streptomycetaceae"	"Streptomyces"
">ASV91"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Betaproteobacteriales"	"SC-I-84"	NA
">ASV92"	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Bacillus"
">ASV93"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Betaproteobacteriales"	"Burkholderiaceae"	"Rhizobacter"
">ASV94"	"Bacteria"	"Actinobacteria"	"Thermoleophilia"	"Solirubrobacterales"	"67-14"	NA
">ASV95"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Glycomycetales"	"Glycomycetaceae"	"Glycomyces"
">ASV96"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micromonosporales"	"Micromonosporaceae"	"Actinoplanes"
">ASV97"	"Bacteria"	"Chloroflexi"	"Dehalococcoidia"	"S085"	NA	NA
">ASV98"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Betaproteobacteriales"	"Burkholderiaceae"	"Burkholderia-Caballeronia-Paraburkholderia"
">ASV99"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Betaproteobacteriales"	"Burkholderiaceae"	"Massilia"
">ASV100"	"Bacteria"	"Acidobacteria"	"Subgroup_5"	NA	NA	NA
">ASV101"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Streptomycetales"	"Streptomycetaceae"	"Streptomyces"
">ASV102"	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Bacillus"
">ASV103"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	"Microbacterium"
">ASV104"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Corynebacteriales"	"Mycobacteriaceae"	"Mycobacterium"
">ASV105"	"Bacteria"	"Acidobacteria"	"Subgroup_5"	NA	NA	NA
">ASV106"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	NA
">ASV107"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"Sphingomonas"
">ASV108"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Frankiales"	"Geodermatophilaceae"	"Blastococcus"
">ASV109"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Cytophagales"	"Hymenobacteraceae"	"Adhaeribacter"
">ASV110"	"Bacteria"	"Chloroflexi"	"Dehalococcoidia"	"S085"	NA	NA
">ASV111"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Betaproteobacteriales"	"Burkholderiaceae"	"Achromobacter"
">ASV112"	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Bacillus"
">ASV113"	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"Myxococcales"	"Haliangiaceae"	"Haliangium"
">ASV114"	"Bacteria"	"Chloroflexi"	"TK10"	NA	NA	NA
">ASV115"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Streptomycetales"	"Streptomycetaceae"	"Streptomyces"
">ASV116"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Rhizobiaceae"	"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
">ASV117"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"Flavobacterium"
">ASV118"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Intrasporangiaceae"	"Phycicoccus"
">ASV119"	"Bacteria"	"Planctomycetes"	"Phycisphaerae"	"Phycisphaerales"	"Phycisphaeraceae"	"SM1A02"
">ASV120"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Betaproteobacteriales"	"Burkholderiaceae"	"Burkholderia-Caballeronia-Paraburkholderia"
">ASV121"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Betaproteobacteriales"	"Burkholderiaceae"	"Leptothrix"
">ASV122"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Propionibacteriales"	"Nocardioidaceae"	"Kribbella"
">ASV123"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Betaproteobacteriales"	"Burkholderiaceae"	"Piscinibacter"
">ASV124"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Beijerinckiaceae"	"Microvirga"
">ASV125"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Intrasporangiaceae"	"Oryzihumus"
">ASV126"	"Bacteria"	"Actinobacteria"	"Thermoleophilia"	"Gaiellales"	NA	NA
">ASV127"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"Sphingomonas"
">ASV128"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Betaproteobacteriales"	"Burkholderiaceae"	"Leptothrix"
">ASV129"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Corynebacteriales"	"Mycobacteriaceae"	"Mycobacterium"
">ASV130"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Frankiales"	"Sporichthyaceae"	NA
">ASV131"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	"Leifsonia"
">ASV132"	"Bacteria"	"Actinobacteria"	"MB-A2-108"	NA	NA	NA
">ASV133"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Betaproteobacteriales"	"Burkholderiaceae"	"Burkholderia-Caballeronia-Paraburkholderia"
">ASV134"	"Bacteria"	"Chloroflexi"	NA	NA	NA	NA
">ASV135"	"Bacteria"	"Actinobacteria"	"Thermoleophilia"	"Solirubrobacterales"	"67-14"	NA
">ASV136"	"Bacteria"	"Chloroflexi"	"TK10"	NA	NA	NA
">ASV137"	"Bacteria"	"Actinobacteria"	"Thermoleophilia"	"Solirubrobacterales"	"67-14"	NA
">ASV138"	"Bacteria"	"Actinobacteria"	"Thermoleophilia"	"Solirubrobacterales"	"Solirubrobacteraceae"	"Solirubrobacter"
">ASV139"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Streptomycetales"	"Streptomycetaceae"	"Streptomyces"
">ASV140"	"Bacteria"	"Chloroflexi"	"TK10"	NA	NA	NA
">ASV141"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"Sphingomonas"
">ASV142"	"Bacteria"	"Actinobacteria"	"Thermoleophilia"	"Gaiellales"	NA	NA
">ASV143"	"Bacteria"	"Actinobacteria"	"Thermoleophilia"	"Solirubrobacterales"	"Solirubrobacteraceae"	"Solirubrobacter"
">ASV144"	"Bacteria"	"Actinobacteria"	"Thermoleophilia"	"Gaiellales"	"Gaiellaceae"	"Gaiella"
">ASV145"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Betaproteobacteriales"	"SC-I-84"	NA
">ASV146"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Betaproteobacteriales"	"TRA3-20"	NA
">ASV147"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"Sphingomonas"
">ASV148"	"Bacteria"	"Chloroflexi"	"TK10"	NA	NA	NA
">ASV149"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"Sphingomonas"
">ASV150"	"Bacteria"	"Actinobacteria"	"MB-A2-108"	NA	NA	NA
">ASV151"	"Bacteria"	"Chloroflexi"	"TK10"	NA	NA	NA
">ASV152"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	"Agromyces"
">ASV153"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Kineosporiales"	"Kineosporiaceae"	"Kineosporia"
">ASV154"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Rhodanobacteraceae"	"Luteibacter"
">ASV155"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Betaproteobacteriales"	"SC-I-84"	NA
">ASV156"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"Sphingomonas"
">ASV157"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"Flavobacterium"
">ASV158"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Betaproteobacteriales"	"Nitrosomonadaceae"	"MND1"
">ASV159"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Betaproteobacteriales"	"SC-I-84"	NA
">ASV160"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Cellulomonadaceae"	"Cellulomonas"
">ASV161"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Cytophagales"	"Hymenobacteraceae"	"Adhaeribacter"
">ASV162"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Betaproteobacteriales"	"Burkholderiaceae"	"Rhizobacter"
">ASV163"	"Bacteria"	"Nitrospirae"	"Nitrospira"	"Nitrospirales"	"Nitrospiraceae"	"Nitrospira"
">ASV164"	"Bacteria"	"Nitrospirae"	"Nitrospira"	"Nitrospirales"	"Nitrospiraceae"	"Nitrospira"
">ASV165"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Rhizobiaceae"	"Ensifer"
">ASV166"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"Altererythrobacter"
">ASV167"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	NA
">ASV168"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Betaproteobacteriales"	"Burkholderiaceae"	"Massilia"
">ASV169"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"Sphingomonas"
">ASV170"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Rhizobiaceae"	"Mesorhizobium"
">ASV171"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"Sphingomonas"
">ASV172"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Betaproteobacteriales"	"Burkholderiaceae"	NA
">ASV173"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Xanthobacteraceae"	NA
">ASV174"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Betaproteobacteriales"	"Methylophilaceae"	"Methylotenera"
">ASV175"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Micropepsales"	"Micropepsaceae"	NA
">ASV176"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"Sphingomonas"
">ASV177"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Streptosporangiales"	"Thermomonosporaceae"	"Actinocorallia"
">ASV178"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Betaproteobacteriales"	"Nitrosomonadaceae"	"MND1"
">ASV179"	"Bacteria"	"Actinobacteria"	"Thermoleophilia"	"Solirubrobacterales"	"67-14"	NA
">ASV180"	"Bacteria"	"Chloroflexi"	"TK10"	NA	NA	NA
">ASV181"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Intrasporangiaceae"	"Lapillicoccus"
">ASV182"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Betaproteobacteriales"	"Burkholderiaceae"	"Burkholderia-Caballeronia-Paraburkholderia"
">ASV183"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Betaproteobacteriales"	"Burkholderiaceae"	NA
">ASV184"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Betaproteobacteriales"	"A21b"	NA
">ASV185"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Steroidobacterales"	"Steroidobacteraceae"	NA
">ASV186"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"Flavobacterium"
">ASV187"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"Flavobacterium"
">ASV188"	"Bacteria"	"Actinobacteria"	"Thermoleophilia"	"Solirubrobacterales"	"67-14"	NA
">ASV189"	"Bacteria"	"Chloroflexi"	"TK10"	NA	NA	NA
">ASV190"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	"Agromyces"
">ASV191"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Rhizobiaceae"	"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
">ASV192"	"Bacteria"	"Chloroflexi"	"TK10"	NA	NA	NA
">ASV193"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Betaproteobacteriales"	"A21b"	NA
">ASV194"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"Sphingomonas"
">ASV195"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Pseudonocardiales"	"Pseudonocardiaceae"	"Lechevalieria"
">ASV196"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	"Pseudoxanthomonas"
">ASV197"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Xanthobacteraceae"	NA
">ASV198"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Propionibacteriales"	"Nocardioidaceae"	"Nocardioides"
">ASV199"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Catenulisporales"	"Catenulisporaceae"	"Catenulispora"
">ASV200"	"Bacteria"	"Chloroflexi"	"Chloroflexia"	"Chloroflexales"	"Roseiflexaceae"	NA
">ASV201"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Xanthobacteraceae"	"Bradyrhizobium"
">ASV202"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Rhodanobacteraceae"	"Rhodanobacter"
">ASV203"	"Bacteria"	"Verrucomicrobia"	"Verrucomicrobiae"	"Pedosphaerales"	"Pedosphaeraceae"	"ADurb.Bin063-1"
">ASV204"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacteriales"	"Enterobacteriaceae"	"Pantoea"
">ASV205"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Betaproteobacteriales"	"SC-I-84"	NA
">ASV206"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Betaproteobacteriales"	"Burkholderiaceae"	"Ramlibacter"
">ASV207"	"Bacteria"	"Actinobacteria"	"Thermoleophilia"	"Gaiellales"	NA	NA
">ASV208"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Betaproteobacteriales"	"Burkholderiaceae"	"Burkholderia-Caballeronia-Paraburkholderia"
">ASV209"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Betaproteobacteriales"	"SC-I-84"	NA
">ASV210"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"Sphingomonas"
">ASV211"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"Sphingomonas"
">ASV212"	"Bacteria"	"Actinobacteria"	"Thermoleophilia"	"Gaiellales"	"Gaiellaceae"	"Gaiella"
">ASV213"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Streptosporangiales"	"Thermomonosporaceae"	"Actinocorallia"
