"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
">ASV41"	"k__Fungi"	"p__Ascomycota"	"c__Dothideomycetes"	"o__Pleosporales"	"f__Phaeosphaeriaceae"	"g__Setophoma"	"s__terrestris"
">ASV42"	"k__Fungi"	"p__Chytridiomycota"	"c__Spizellomycetes"	"o__Spizellomycetales"	"f__Powellomycetaceae"	"g__Powellomyces"	NA
">ASV43"	"k__Fungi"	"p__Ascomycota"	"c__Dothideomycetes"	"o__Pleosporales"	"f__Phaeosphaeriaceae"	"g__Setophoma"	"s__terrestris"
">ASV44"	"k__Fungi"	"p__Ascomycota"	"c__Pezizomycetes"	"o__Pezizales"	"f__Pyronemataceae"	"g__Pseudaleuria"	NA
">ASV45"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Hypocreales"	"f__Nectriaceae"	"g__Fusarium"	"s__acutatum"
">ASV46"	"k__Fungi"	"p__Basidiomycota"	"c__Agaricomycetes"	"o__Agaricales"	NA	NA	NA
">ASV47"	"k__Fungi"	"p__Zoopagomycota"	"c__Zoopagomycetes"	"o__Zoopagales"	"f__Piptocephalidaceae"	"g__Syncephalis"	NA
">ASV48"	"k__Fungi"	"p__Ascomycota"	"c__Leotiomycetes"	"o__Helotiales"	"f__Hyaloscyphaceae"	"g__Cistella"	NA
">ASV49"	"k__Fungi"	NA	NA	NA	NA	NA	NA
">ASV50"	"k__Fungi"	"p__Basidiomycota"	NA	NA	NA	NA	NA
">ASV51"	"k__Fungi"	"p__Ascomycota"	"c__Leotiomycetes"	"o__Thelebolales"	"f__Pseudeurotiaceae"	"g__Pseudeurotium"	"s__bakeri"
">ASV52"	"k__Fungi"	"p__Basidiomycota"	"c__Agaricomycetes"	"o__Agaricales"	"f__Psathyrellaceae"	"g__Coprinellus"	"s__verrucispermus"
">ASV53"	"k__Fungi"	"p__Mortierellomycota"	"c__Mortierellomycetes"	"o__Mortierellales"	"f__Mortierellaceae"	"g__Mortierella"	"s__elongata"
">ASV54"	"k__Fungi"	"p__Ascomycota"	"c__Dothideomycetes"	"o__Pleosporales"	"f__Didymosphaeriaceae"	"g__Pseudopithomyces"	NA
